regimen_synonym_id,regimen_synonym,source_id,regimen_id
365,"bortezomib, liposomal adriamycin, dexamethasone",1,1617
366,"bortezomib, liposomal doxorubicin, dexamethasone",1,1617
367,"bortezomib, low-dose dexamethasone",1,267
368,"bortezomib, melphalan, dexamethasone",1,2124
369,"bortezomib, melphalan, prednisone",1,1619
370,"bortezomib, melphalan, prednisone, alternating with lenalidomide and dexamethasone",1,2126
371,"bortezomib, melphalan, prednisone, thalidomide",1,2127
372,"bortezomib, melphalan, prednisone, then lenalidomide and dexamethasone",1,2125
373,"bortezomib, melphalan, prednisone/lenalidomide and dexamethasone",1,2126
374,"bortezomib, melphalan, thalidomide, prednisone",1,2127
375,"bortezomib, pomalidomide, dex",1,1807
376,"bortezomib, pomalidomide, dexamethasone",1,1807
377,"bortezomib, rituximab, dexamethasone",1,210
378,"bortezomib, thaldex",1,2141
379,"bortezomib, thalidomide, dex",1,2141
380,"bortezomib, thalidomide, dexamethasone",1,2141
381,"bortezomib, thalidomide, prednisone",1,2144
382,"bortezomib, thalomid, prednisone",1,2144
383,bortezomib-mp,1,1619
384,"bortezomib-mp, alternating with lendex",1,2126
385,"bortezomib-mp, alternating with revdex",1,2126
386,"bortezomib-mp, then lendex",1,2125
387,"bortezomib-mp, then revdex",1,2125
388,bortezomib-mp/lendex,1,2126
389,bortezomib-mp/revdex,1,2126
390,bortezomib-mpt,1,2127
391,bortezomib-mtp,1,2127
392,bp,1,219
393,br,1,226
394,br and ibrutinib,1,227
395,br and idelalisib,1,228
396,br and polatuzumab vedotin,1,229
397,br/cr,1,278
398,brd,1,253
399,brentuximab vedotin and bendamustine,1,222
400,"brentuximab vedotin, adriamycin (doxorubicin), vinblastine, dacarbazine",1,21
401,"brentuximab vedotin, adriamycin (doxorubicin), vincristine, etoposide, prednisone, cyclophosphamide",1,298
402,"brentuximab vedotin, cyclophosphamide, hydroxydaunorubicin (doxorubicin), prednisone",1,299
403,"brief, anthracycline-sparing, intensive cyclophosphamide",1,194
404,bucy,1,289
405,"bucytbi, then allo hsct",1,288
406,buflu,1,290
407,"buflu, then allo hsct",1,290
408,bumel,1,291
409,"busulfan and cyclophosphamide, then allo hsct",1,289
410,"busulfan and fludarabine, then allo hsct",1,290
411,"busulfan, cyclophosphamide, total body irradiation",1,288
412,"busulfan, thiotepa",1,285
413,"busulfan, thiotepa, cyclophosphamide",1,286
414,bv,1,257
415,bv,7,257
416,bv + avd,1,21
417,bvap,7,2082
418,bvb,1,222
419,bvcpp,7,208
420,bvd,1,197
421,bvd,7,197
422,bvpp,7,265
423,c,1,355
424,c-mopp/abvd,1,721
425,c-rd,1,252
426,ca,1,752
427,ca/e,1,384
428,cabs,7,1899
429,cad,1,317
430,cae,1,472
431,caf,1,1095
432,caf,7,1095
433,caffi,7,1095
434,cao,1,459
435,cap-b,1,331
436,cap-gem,1,341
437,cape-ox,7,365
438,capecitabine,1,355
