synonym_id,anchor_drug_id,synonym_name
28448,4776,"streptococcus pneumoniae type 4 polysaccharide antigen, a"
28449,4754,"streptococcus pneumoniae type 4 polysaccharide conjugate antigen, a"
28450,4755,streptococcus pneumoniae type 5 capsular polysaccharide diphtheria crm197 protein conjugate antigen
28451,4777,"streptococcus pneumoniae type 5 polysaccharide antigen, a"
28452,4756,streptococcus pneumoniae type 6a capsular polysaccharide diphtheria crm197 protein conjugate antigen
28453,4757,streptococcus pneumoniae type 6b capsular polysaccharide diphtheria crm197 protein conjugate antigen
28454,4778,"streptococcus pneumoniae type 6b polysaccharide antigen, a"
28455,4757,"streptococcus pneumoniae type 6b polysaccharide conjugate antigen, a"
28456,4758,streptococcus pneumoniae type 7f capsular polysaccharide diphtheria crm197 protein conjugate antigen
28457,4779,"streptococcus pneumoniae type 7f polysaccharide antigen, a"
28458,4780,"streptococcus pneumoniae type 8 polysaccharide antigen, a"
28459,4781,"streptococcus pneumoniae type 9n polysaccharide antigen, a"
28460,4759,streptococcus pneumoniae type 9v capsular polysaccharide diphtheria crm197 protein conjugate antigen
28461,4782,"streptococcus pneumoniae type 9v polysaccharide antigen, a"
28462,4759,"streptococcus pneumoniae type 9v polysaccharide conjugate antigen, a"
28463,4783,streptococcus salivarius subsp. thermophilus
28464,4783,streptococcus salivarius thermophilus
28465,4784,streptokinasum
28466,4785,streptomicina
28467,4785,streptomycin sesquisulfate
28468,4785,streptomycin sulfate
28469,4785,streptomyzin
28470,4785,streptosol 25%
28471,4786,streptozocine
28472,4786,streptozocinium
28473,4786,streptozocinum
28474,4786,streptozoticin
28475,4786,streptozotocin
28476,1339,stribild
28477,4789,stricnina
28478,2832,stromectol
28479,4787,stronscan-85
28480,4787,strontium (89sr) cation
28481,4787,strontium (89sr) chloride
28482,4787,strontium cation sr-89
28483,4788,strontium chloride hexahydrate
28484,4787,strontium chloride sr 89
28485,4787,strontium chloride sr-89
28486,4787,"strontium chloride, 89sr-labeled"
28487,4788,"strontium chloride, hexahydrate"
28488,4787,"strontium chloride, sr-89"
28489,4788,strontium dichloride
28490,4787,strontium sr-82
28491,4787,strontium sr-89 cation
28492,4787,strontium-89
28493,4787,strontium-89 chloride
28494,4789,strychnidin-10-one
28495,831,"strychnidin-10-one, 2,3-dimethoxy-"
28496,4789,strychnin
28497,3632,strychnos nux-vomica
28498,166,stryphnonasal
28499,4683,sts
28500,1642,sts 557
28501,2099,stuart-prower factor
28502,4735,stv
28503,166,stypnone
28504,1983,styptanon
28505,1983,styptanon (fm)
28506,3023,styrax gum (liquidambar styraciflua)
28507,1246,styrylcarbinol
28508,4786,stz
28509,4852,su 011248
28510,4852,su 11248
28511,4953,su 20
28512,4852,su-011248
28513,2947,su-101
28514,4852,su-11248
28515,2481,su-5864
