anchor_drug_id,canonical_rxcui,canonical_drug_name,canonical_tty
4903,10337,taurine,IN
4904,2670453,taurolidine,IN
4905,2613950,taurursodiol,IN
4906,1543173,tavaborole,IN
4907,2700758,taxifolin,IN
4908,83947,tazarotene,IN
4909,2274378,tazemetostat,IN
4910,37617,tazobactam,IN
4911,69627,tea tree oil,IN
4912,2590743,tebentafusp,IN
4913,2571856,technetium,IN
4914,2619426,teclistamab,IN
4915,2055104,tecovirimat,IN
4916,1540825,tedizolid,IN
4917,1364468,teduglutide,IN
4918,4582,tegafur,IN
4919,139778,tegaserod,IN
4920,57021,teicoplanin,IN
4921,1102261,telaprevir,IN
4922,473837,telavancin,IN
4923,474128,telbivudine,IN
4924,2714237,telisotuzumab,IN
4925,274786,telithromycin,IN
4926,85929,telmesteine,IN
4927,73494,telmisartan,IN
4928,1872382,telotristat,IN
4929,1872441,telotristat ethyl,IN
4930,37771,temafloxacin,IN
4931,10355,temazepam,IN
4932,37775,temocillin,IN
4933,115243,temoporfin,IN
4934,37776,temozolomide,IN
4935,2675620,temsavir,IN
4936,657797,temsirolimus,IN
4937,2199674,tenapanor,IN
4938,259280,tenecteplase,IN
4939,10362,teniposide,IN
4940,117466,tenofovir,IN
4941,1721603,tenofovir alafenamide,IN
4942,300195,tenofovir disoproxil,IN
4943,236186,tenonitrozole,IN
4944,37790,tenoxicam,IN
4945,2621880,teplizumab,IN
4946,2477103,tepotinib,IN
4947,2274803,teprotumumab,IN
4948,37798,terazosin,IN
4949,37801,terbinafine,IN
4950,10368,terbutaline,IN
4951,37806,terconazole,IN
4952,42330,terfenadine,IN
4953,1310520,teriflunomide,IN
4954,32915,teriparatide,IN
4955,57047,terizidone,IN
4956,57048,terlipressin,IN
4957,37815,terodiline,IN
4958,89916,terpin hydrate,IN
4959,1368180,terpineol,IN
4960,1312739,terpinyl acetate,IN
4961,1363061,tert-butyl alcohol,IN
4962,37840,tertatolol,IN
4963,1044584,tesamorelin,IN
4964,10378,testolactone,IN
4965,10379,testosterone,IN
4966,1727875,tetanus immune globulin,IN
4967,1735049,tetanus toxin,IN
4968,798306,"tetanus toxoid vaccine, inactivated",IN
4969,10390,tetrabenazine,IN
4970,10391,tetracaine,IN
4971,10395,tetracycline,IN
