legacy_anchor_drug_id,legacy_anchor_drug_name,term_kind,legacy_synonym_id,normalized_surface_form,provisional_default_rxcui,provisional_default_name,provisional_default_tty,validated_rxcui,validated_name,validated_tty,rxnorm_mapping_rule,override_class
5744,ascorbic acid,synonym,19286,bayer aspirin,1151,ascorbic acid,IN,1191,aspirin,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5744,ascorbic acid,synonym,31319,ecotrin,1151,ascorbic acid,IN,1191,aspirin,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5744,ascorbic acid,synonym,46002,methyl salicylate 2-ethylbutyrate,1151,ascorbic acid,IN,1921110,methyl salicylate 2-ethylbutyrate,IN,exact_in,incompatible_ingredient_target_reassigned
5782,asparaginase,synonym,17596,aspartic acid,1156,asparaginase,IN,1169,aspartic acid,IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,4427,17-alpha-hydroxyprogesterone,60212,atovaquone,IN,5542,17-alpha-hydroxyprogesterone,IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,14102,alora,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,15178,androderm,60212,atovaquone,IN,10379,testosterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,15180,androgel,60212,atovaquone,IN,10379,testosterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,25598,climara,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,26293,combipatch,60212,atovaquone,IN,214551,estradiol / norethindrone,MIN,bn_to_unique_min,single_anchor_to_multi_ingredient_target
5950,atovaquone,synonym,26994,crinone,60212,atovaquone,IN,8727,progesterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,28733,delestrogen,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,28903,depo-estradiol,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,28910,depo-testosterone,60212,atovaquone,IN,10379,testosterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,30184,divigel,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,32430,estrace,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,32434,estradiol,60212,atovaquone,IN,4083,estradiol,IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,32439,estradiol cypionate,60212,atovaquone,IN,636632,estradiol / medroxyprogesterone,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
5950,atovaquone,synonym,32463,estring,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,32474,estrogel,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,32493,estrone,60212,atovaquone,IN,4103,estrone,IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,34415,fortesta,60212,atovaquone,IN,10379,testosterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,35363,genesis,60212,atovaquone,IN,10759,triamcinolone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,45461,menest,60212,atovaquone,IN,214549,"estrogens, esterified (usp)",IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,45857,methitest,60212,atovaquone,IN,6904,methyltestosterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,46134,methyltestosterone,60212,atovaquone,IN,6904,methyltestosterone,IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,55659,premarin,60212,atovaquone,IN,4099,"estrogens, conjugated (usp)",IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,55896,progesterone,60212,atovaquone,IN,8727,progesterone,IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,55965,prometrium,60212,atovaquone,IN,8727,progesterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,63302,"synthetic conjugated estrogens, a",60212,atovaquone,IN,253166,"synthetic conjugated estrogens, a",IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,64214,testopel,60212,atovaquone,IN,10379,testosterone,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,64219,testosterone,60212,atovaquone,IN,10379,testosterone,IN,exact_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,64229,testosterone cypionate,60212,atovaquone,IN,10379,testosterone,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,64230,testosterone enanthate,60212,atovaquone,IN,10379,testosterone,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,67329,vagifem,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5950,atovaquone,synonym,67956,vivelle,60212,atovaquone,IN,4083,estradiol,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5971,atripla,synonym,62698,stribild,1007761,efavirenz / emtricitabine / tenofovir disoproxil,MIN,1306291,cobicistat / elvitegravir / emtricitabine / tenofovir disoproxil,MIN,bn_to_unique_min,incompatible_ingredient_target_reassigned
5982,atrovent,synonym,40691,ipratropium bromide,7213,ipratropium,IN,214199,albuterol / ipratropium,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
5985,attapulgite,synonym,12469,activated attapulgite,18516,attapulgite,IN,133050,activated attapulgite,IN,exact_in,incompatible_ingredient_target_reassigned
6452,azilsartan medoxomil,synonym,18729,azilsartan,1235143,azilsartan / chlorthalidone,MIN,1091643,azilsartan,IN,exact_in,multi_anchor_component_to_single_ingredient_target
6452,azilsartan medoxomil,synonym,31338,edarbi,1235143,azilsartan / chlorthalidone,MIN,1091643,azilsartan,IN,bn_to_unique_in,multi_anchor_component_to_single_ingredient_target
6562,bactrim,synonym,66162,trimethoprim,10831,sulfamethoxazole / trimethoprim,MIN,10829,trimethoprim,IN,exact_in,multi_anchor_component_to_single_ingredient_target
6666,barley malt syrup,synonym,44786,malt extract,1306883,barley malt syrup,IN,235375,malt extract,IN,exact_in,incompatible_ingredient_target_reassigned
6795,beclomethasone dipropionate,synonym,19540,beconase,2747290,beclomethasone / formoterol / glycopyrronium,MIN,1347,beclomethasone,IN,bn_to_unique_in,multi_anchor_component_to_single_ingredient_target
6832,belantamab mafodotin,synonym,19567,belantamab,2387834,belantamab mafodotin,IN,2387844,belantamab,IN,exact_in,incompatible_ingredient_target_reassigned
6880,benadryl,synonym,22464,caladryl,3498,diphenhydramine,IN,804304,calamine / pramoxine,MIN,bn_to_unique_min,single_anchor_to_multi_ingredient_target
6880,benadryl,synonym,67056,unisom,3498,diphenhydramine,IN,3642,doxylamine,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
7444,biotin,synonym,27988,d-biotin,1588,biotin,IN,314583,d-biotin,IN,exact_in,incompatible_ingredient_target_reassigned
7522,bismuth subcarbonate,synonym,20780,bismuth carbonate,19475,bismuth subcarbonate,IN,19469,bismuth carbonate,IN,exact_in,incompatible_ingredient_target_reassigned
7780,bosentan,synonym,21436,bosentan monohydrate,75207,bosentan,IN,498193,bosentan monohydrate,IN,exact_in,incompatible_ingredient_target_reassigned
8337,cadmium,synonym,28369,daraprim,1362694,cadmium,IN,9010,pyrimethamine,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
8337,cadmium,synonym,56700,pyrimethamine,1362694,cadmium,IN,9010,pyrimethamine,IN,exact_in,incompatible_ingredient_target_reassigned
8397,calcium gluconate,synonym,35674,gluconic acid,1908,calcium gluconate,IN,70599,gluconate,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
8423,calcium saccharate,synonym,22564,calcium glucarate,236693,calcium saccharate,IN,1907,calcium glucarate,IN,exact_in,incompatible_ingredient_target_reassigned
8487,camphor,synonym,22697,camphor oil,1952,camphor,IN,2101501,camphor / capsicum oleoresin / menthol / methyl salicylate,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
8553,canrenoic acid,synonym,22803,canrenoate,81971,canrenoic acid,IN,618970,canrenoate,IN,exact_in,incompatible_ingredient_target_reassigned
