normalized_surface_form,match_count,matched_rxcuis,matched_ttys,matched_names,concept_classes,mapping_status,mapping_rule,canonical_rxcui,canonical_name,canonical_tty
"(+)-4-((s)-α,2,3-trimethylbenzyl)imidazole",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-4-(2-methyl-4-oxo-3,3-diphenyl-4-(1-pyrrolidinyl)butyl)morpholine",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-4-amino-3-isoxazolidinone,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-4-isopropenyl-1-methylcyclohexene,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-5-chloro-1-ethyl-3-(2-hydroxy-3-methoxybenzyl)-2-oxoindolin-3-yl dimethylcarbamate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-5-iodo-2'-deoxyuridine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-7-((3r)-3-aminohexahydro-1h-azepin-1-yl)-8-chloro-1-cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-7-((3r)-3-aminohexahydro-1h-azepin-1-yl)-8-chloro-1-cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid hydrochloride",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-9,10-didehydro-n-(1-(hydroxymethyl)propyl)-1,6-dimethylergoline-8β-carboxamide",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-9-fluoro-11beta,17-dihydroxy-21-methoxy-16beta-methylpregna-1,4-diene-3,20-dione 17-propionate 21-o-methyl-17-o-propionylbetamethasone",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-a-dihydrotetrabenazine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-ajmaline,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-aldosterone,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alfa-tocopherol acetate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alpha-dihydrotetrabenazine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alpha-limonene,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alpha-lipoic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alpha-methylphenethylamine sulphate (2:1),0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alpha-tocopherol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alpha-tocopherol acetate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-alpha-tocopheryl succinate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-ampelopsin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-amphetamine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-aphidicolin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-atenolol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-bakuchiol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-benzphetamine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-berbamine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-beta-isosparteine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-bornan-2-one,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-brefeldin a,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-brompheniraminum,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-calanolide a,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-camphor,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-camptothecin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-camptothecine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-catechin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-catechin 3-gallate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-catechin gallate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-catechol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-chalepin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-cis-4-(para-hydroxyphenyl)-7,4-dihydroxy-3,5-dimethoxy-8-methylisoflavan",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-cis-5-[2-(dimethylamino)ethyl]-2,3-dihydro-3-hydroxy-2-(p-methoxyphenyl)-1,5-benzothiazepin-4(5h)-one acetate ester",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-cis-hexahydro-2-oxo-1h-thieno[3,4]imidazole-4-valeric acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-citalopram,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-clopidogrel,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-cyanidan-3-ol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-cyanidanol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-cycloserine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-d-malic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-d-ribo-phytosphingosine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-daunomycin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-dethiobiotin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-dextromethorphan,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-dextrorphan,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-dihydromyricetin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-dihydroquercetin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-dihydrotetrabenazine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-econazole,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-epibatidine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-ethambutol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-ethyl 1-(α-methylbenzyl)imidazole-5-carboxylate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-etomidate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-fenfluramine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-fluoxetine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-gibberellic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-griseofulvin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-haloxyfop,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-indapamide,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-irinotecan,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-l-tartaric acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-lactic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-latrunculin a,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-latrunculin b,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-limonene,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-lsd,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-magnesium aspartate tetrahydrate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-mcpg,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-menthol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-methyl 2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oate",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-methyl-1-testosterone,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-mometasone,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-monastrol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-myxothiazol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-n,n'-bis(1-(hydroxymethyl)propyl)ethylenediamine",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-n,α-dimethyl-n-(phenylmethyl)-benzeneethanamine",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
