legacy_anchor_drug_id,canonical_rxcui,anchor_drug_id,canonical_drug_name,canonical_tty,default_rule
4192,358274,303,ambrisentan,IN,direct_anchor_exact_rxnorm
4193,851938,2102,false ragweed pollen extract,IN,unique_convergent_term_evidence
4194,851942,971,canyon ragweed pollen extract,IN,unique_convergent_term_evidence
4195,896135,4604,short ragweed pollen extract,IN,unique_convergent_term_evidence
4196,885750,4708,southern ragweed pollen extract,IN,unique_convergent_term_evidence
4197,851955,4534,sandbur ragweed pollen extract,IN,unique_convergent_term_evidence
4198,1117083,5379,weakleaf bur ragweed pollen extract,IN,unique_convergent_term_evidence
4199,851969,4330,rabbit bush pollen extract,IN,unique_convergent_term_evidence
4200,851981,1562,desert ragweed pollen extract,IN,unique_convergent_term_evidence
4201,851985,5382,western ragweed pollen extract,IN,unique_convergent_term_evidence
4202,851990,4645,slender ragweed pollen extract,IN,unique_convergent_term_evidence
4203,851998,2376,giant ragweed pollen extract,IN,unique_convergent_term_evidence
4204,625,304,ambroxol,IN,direct_anchor_exact_rxnorm
4205,625,304,ambroxol,IN,direct_anchor_exact_rxnorm
4206,625,304,ambroxol,IN,direct_anchor_exact_rxnorm
4216,17652,305,amcinonide,IN,direct_anchor_exact_rxnorm
4219,626,306,amdinocillin,IN,direct_anchor_exact_rxnorm
4259,99,71,6-aminocaproic acid,IN,direct_anchor_exact_rxnorm
4267,2106338,311,amifampridine,IN,direct_anchor_exact_rxnorm
4268,2106338,311,amifampridine,IN,direct_anchor_exact_rxnorm
4273,4126,312,amifostine,IN,direct_anchor_exact_rxnorm
4275,641,313,amikacin,IN,direct_anchor_exact_rxnorm
4280,644,314,amiloride,IN,direct_anchor_exact_rxnorm
4282,1426854,316,amiloxate,IN,direct_anchor_exact_rxnorm
4283,645,317,aminacrine,IN,direct_anchor_exact_rxnorm
4284,645,317,aminacrine,IN,direct_anchor_exact_rxnorm
4287,46276,318,aminaphthone,IN,direct_anchor_exact_rxnorm
4292,1311153,319,amino methacrylate copolymer,IN,direct_anchor_exact_rxnorm
4302,677,321,aminoglutethimide,IN,direct_anchor_exact_rxnorm
4305,683,323,aminolevulinic acid,IN,direct_anchor_exact_rxnorm
4310,1440266,324,aminometradine,IN,direct_anchor_exact_rxnorm
4312,1006397,325,aminopentamide,IN,direct_anchor_exact_rxnorm
4316,695,330,aminopyrine,IN,unique_convergent_term_evidence
4319,689,326,aminophylline,IN,direct_anchor_exact_rxnorm
4320,689,326,aminophylline,IN,direct_anchor_exact_rxnorm
4321,2462496,327,aminopromazine,IN,direct_anchor_exact_rxnorm
4323,1440268,328,aminopropazine fumarate,IN,direct_anchor_exact_rxnorm
4324,1440264,329,aminopterin,IN,direct_anchor_exact_rxnorm
4326,17747,331,aminoquinuride,IN,direct_anchor_exact_rxnorm
4329,7833,332,aminosalicylic acid,IN,direct_anchor_exact_rxnorm
4333,703,333,amiodarone,IN,direct_anchor_exact_rxnorm
4344,46303,334,amisulpride,IN,direct_anchor_exact_rxnorm
4350,17763,335,amitraz,IN,direct_anchor_exact_rxnorm
4351,704,336,amitriptyline,IN,direct_anchor_exact_rxnorm
4354,2549199,337,amivantamab,IN,direct_anchor_exact_rxnorm
4356,10691,5135,tranexamic acid,IN,unique_convergent_term_evidence
4360,46307,338,amlexanox,IN,direct_anchor_exact_rxnorm
4365,17767,339,amlodipine,IN,direct_anchor_exact_rxnorm
4368,1299884,342,ammonia,IN,direct_anchor_exact_rxnorm
4369,1299884,342,ammonia,IN,direct_anchor_exact_rxnorm
4370,1424665,343,ammonio methacrylate copolymer type a,IN,direct_anchor_exact_rxnorm
4371,1312540,344,ammonium benzoate,IN,direct_anchor_exact_rxnorm
4373,1313309,345,ammonium bromide,IN,direct_anchor_exact_rxnorm
4375,1310190,346,ammonium carbonate,IN,direct_anchor_exact_rxnorm
4376,712,347,ammonium chloride,IN,direct_anchor_exact_rxnorm
4378,1007266,2889,lactate / pramoxine,MIN,direct_anchor_exact_rxnorm
4379,7024,3405,molybdenum,IN,direct_anchor_exact_rxnorm
4380,236220,348,ammonium salicylate,IN,direct_anchor_exact_rxnorm
4383,1441545,349,ammonium valerate,IN,direct_anchor_exact_rxnorm
4388,719,350,amobarbital,IN,direct_anchor_exact_rxnorm
4389,719,350,amobarbital,IN,direct_anchor_exact_rxnorm
4391,720,351,amodiaquine,IN,direct_anchor_exact_rxnorm
4392,720,351,amodiaquine,IN,direct_anchor_exact_rxnorm
4396,1440270,352,amonafide,IN,direct_anchor_exact_rxnorm
4397,1440271,353,amoproxan,IN,direct_anchor_exact_rxnorm
4399,17804,354,amorolfine,IN,direct_anchor_exact_rxnorm
4400,17804,354,amorolfine,IN,direct_anchor_exact_rxnorm
4404,2667256,355,amosulalol,IN,direct_anchor_exact_rxnorm
4407,722,356,amoxapine,IN,direct_anchor_exact_rxnorm
4411,723,357,amoxicillin,IN,direct_anchor_exact_rxnorm
4422,725,358,amphetamine,IN,direct_anchor_exact_rxnorm
4424,822929,359,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate,MIN,direct_anchor_exact_rxnorm
4426,1094193,825,broomweed pollen extract,IN,unique_convergent_term_evidence
4430,732,360,amphotericin b,IN,direct_anchor_exact_rxnorm
4431,733,361,ampicillin,IN,direct_anchor_exact_rxnorm
4432,733,361,ampicillin,IN,direct_anchor_exact_rxnorm
4433,733,361,ampicillin,IN,direct_anchor_exact_rxnorm
4437,228656,362,amprenavir,IN,direct_anchor_exact_rxnorm
4438,1006654,363,amprolium,IN,direct_anchor_exact_rxnorm
4445,738,2675,inamrinone,IN,unique_convergent_term_evidence
4448,739,364,amsacrine,IN,direct_anchor_exact_rxnorm
4456,2675860,3004,lifileucel,IN,direct_anchor_exact_rxnorm
4467,1371051,365,amygdalin,IN,direct_anchor_exact_rxnorm
4468,1370452,366,amyl acetate,IN,direct_anchor_exact_rxnorm
4469,742,368,amyl nitrite,IN,direct_anchor_exact_rxnorm
4471,236248,369,amylmetacresol,IN,direct_anchor_exact_rxnorm
4472,40660,370,amylocaine,IN,direct_anchor_exact_rxnorm
4473,40660,370,amylocaine,IN,direct_anchor_exact_rxnorm
4474,1368128,371,amylopectin,IN,direct_anchor_exact_rxnorm
4475,1368128,371,amylopectin,IN,direct_anchor_exact_rxnorm
4485,2626723,373,anacaulase,IN,direct_anchor_exact_rxnorm
4487,2597,1299,clomipramine,IN,direct_anchor_exact_rxnorm
4491,72435,375,anakinra,IN,direct_anchor_exact_rxnorm
4498,892851,1806,duck feather extract,IN,unique_convergent_term_evidence
4503,84857,376,anastrozole,IN,direct_anchor_exact_rxnorm
4512,140502,377,ancestim,IN,direct_anchor_exact_rxnorm
4517,772,378,ancrod,IN,direct_anchor_exact_rxnorm
4520,2045114,379,andexanet alfa,IN,direct_anchor_exact_rxnorm
4524,3014,1475,cyproterone,IN,unique_convergent_term_evidence
4546,784,380,androstenedione,IN,direct_anchor_exact_rxnorm
4550,10154,4795,succinylcholine,IN,direct_anchor_exact_rxnorm
4554,17881,381,anethole,IN,direct_anchor_exact_rxnorm
4555,820,382,anethole trithione,IN,direct_anchor_exact_rxnorm
4561,1309828,383,angelica archangelica root extract,IN,unique_convergent_term_evidence
4562,1306167,384,angelica dahurica root extract,IN,unique_convergent_term_evidence
4563,1307866,385,angelica sinensis root extract,IN,unique_convergent_term_evidence
4566,60819,755,bivalirudin,IN,direct_anchor_exact_rxnorm
4568,1999003,386,angiotensin ii,IN,direct_anchor_exact_rxnorm
4573,6211,2898,lactose,IN,direct_anchor_exact_rxnorm
4575,2669473,387,anhydrovitamin a,IN,direct_anchor_exact_rxnorm
4577,341018,388,anidulafungin,IN,direct_anchor_exact_rxnorm
4578,2565265,389,anifrolumab,IN,direct_anchor_exact_rxnorm
4580,17933,390,anileridine,IN,direct_anchor_exact_rxnorm
4581,17933,390,anileridine,IN,direct_anchor_exact_rxnorm
4583,1441546,391,aniline,IN,direct_anchor_exact_rxnorm
4588,17939,392,aniracetam,IN,direct_anchor_exact_rxnorm
4590,90926,393,anise oil,IN,direct_anchor_exact_rxnorm
4591,17941,394,anisindione,IN,direct_anchor_exact_rxnorm
4595,89780,395,anisotropine,IN,direct_anchor_exact_rxnorm
4598,40028,396,anistreplase,IN,direct_anchor_exact_rxnorm
4605,2682678,3603,nogapendekin alfa inbakicept,IN,direct_anchor_exact_rxnorm
4619,894783,2455,goose feather extract,IN,unique_convergent_term_evidence
4624,2472152,398,ansuvimab,IN,direct_anchor_exact_rxnorm
4626,865,399,antazoline,IN,direct_anchor_exact_rxnorm
4627,865,399,antazoline,IN,direct_anchor_exact_rxnorm
4629,865,399,antazoline,IN,direct_anchor_exact_rxnorm
4630,865,399,antazoline,IN,direct_anchor_exact_rxnorm
4639,851898,4860,sweet vernal grass pollen extract,IN,unique_convergent_term_evidence
4643,873,400,anthralin,IN,direct_anchor_exact_rxnorm
4646,1368371,562,bacillus anthracis strain v770-np1-r antigens,IN,unique_convergent_term_evidence
5084,314504,401,anti-inhibitor coagulant complex,IN,direct_anchor_exact_rxnorm
5340,6851,3293,methotrexate,IN,unique_convergent_term_evidence
5346,2055655,1501,damoctocog alfa pegol,IN,unique_convergent_term_evidence
5347,4257,2097,factor viii,IN,direct_anchor_exact_rxnorm
5351,1011,3093,"lymphocyte immune globulin, anti-thymocyte globulin",IN,unique_convergent_term_evidence
5355,1311407,403,antimony,IN,direct_anchor_exact_rxnorm
5356,1337969,405,antimony pentasulfide,IN,direct_anchor_exact_rxnorm
5357,981,406,antimony potassium tartrate,IN,direct_anchor_exact_rxnorm
5358,1423913,407,antimony triiodide,IN,direct_anchor_exact_rxnorm
5359,1316091,408,antimony trisulfide,IN,direct_anchor_exact_rxnorm
5378,1001,409,antipyrine,IN,direct_anchor_exact_rxnorm
5381,1009,410,antithrombin iii,IN,direct_anchor_exact_rxnorm
5383,1009,410,antithrombin iii,IN,direct_anchor_exact_rxnorm
5384,1011,3093,"lymphocyte immune globulin, anti-thymocyte globulin",IN,unique_convergent_term_evidence
5406,68091,1759,dolasetron,IN,direct_anchor_exact_rxnorm
5420,2670285,155,"adamts13, recombinant",IN,unique_convergent_term_evidence
5426,1999574,411,apalutamide,IN,direct_anchor_exact_rxnorm
5442,2664896,3433,motixafortide,IN,direct_anchor_exact_rxnorm
5448,1368130,413,apigenin,IN,direct_anchor_exact_rxnorm
5457,1364430,414,apixaban,IN,direct_anchor_exact_rxnorm
5470,1043,415,apomorphine,IN,direct_anchor_exact_rxnorm
5474,1043,415,apomorphine,IN,direct_anchor_exact_rxnorm
5478,358255,421,aprepitant,IN,direct_anchor_exact_rxnorm
5490,360262,416,apple cider vinegar,IN,direct_anchor_exact_rxnorm
5491,1485785,417,apple fruit oil,IN,direct_anchor_exact_rxnorm
5492,283540,418,apple pectin,IN,direct_anchor_exact_rxnorm
5496,14845,419,apraclonidine,IN,direct_anchor_exact_rxnorm
5497,14845,419,apraclonidine,IN,direct_anchor_exact_rxnorm
5503,1492727,420,apremilast,IN,direct_anchor_exact_rxnorm
5507,1318515,422,apricot kernel oil,IN,direct_anchor_exact_rxnorm
5510,1054,423,aprindine,IN,direct_anchor_exact_rxnorm
5511,1054,423,aprindine,IN,direct_anchor_exact_rxnorm
5512,2634355,424,aprinocarsen,IN,direct_anchor_exact_rxnorm
5513,17381,425,aprobarbital,IN,direct_anchor_exact_rxnorm
5514,2679059,426,aprocitentan,IN,direct_anchor_exact_rxnorm
5527,190548,5070,tipranavir,IN,direct_anchor_exact_rxnorm
5535,8091,3926,petrolatum,IN,direct_anchor_exact_rxnorm
5551,1716332,430,arachidate,IN,direct_anchor_exact_rxnorm
5552,1368625,431,arachidonate,IN,direct_anchor_exact_rxnorm
5558,2054023,4874,tafenoquine,IN,direct_anchor_exact_rxnorm
5561,283838,1516,darbepoetin alfa,IN,direct_anchor_exact_rxnorm
5572,26397,432,arbekacin,IN,direct_anchor_exact_rxnorm
5575,61609,433,arbutamine,IN,direct_anchor_exact_rxnorm
5576,61609,433,arbutamine,IN,direct_anchor_exact_rxnorm
5577,1367175,434,arbutin,IN,direct_anchor_exact_rxnorm
5590,87866,435,ardeparin,IN,direct_anchor_exact_rxnorm
5593,11473,3805,pamidronate,IN,unique_convergent_term_evidence
5596,2743197,2702,influenza a virus (h5n8) antigen,IN,direct_anchor_exact_rxnorm
5599,304962,436,arformoterol,IN,direct_anchor_exact_rxnorm
5600,304962,436,arformoterol,IN,direct_anchor_exact_rxnorm
5603,1305642,437,argan oil,IN,direct_anchor_exact_rxnorm
5604,15202,438,argatroban,IN,direct_anchor_exact_rxnorm
5608,1091,439,arginine,IN,direct_anchor_exact_rxnorm
5609,1091,439,arginine,IN,direct_anchor_exact_rxnorm
5610,114464,440,arginine glutamate,IN,direct_anchor_exact_rxnorm
5611,1482633,441,arginine pyroglutamate,IN,unique_convergent_term_evidence
5620,2694283,442,arimoclomol,IN,direct_anchor_exact_rxnorm
5621,2694283,442,arimoclomol,IN,direct_anchor_exact_rxnorm
5623,1673265,444,aripiprazole lauroxil,IN,direct_anchor_exact_rxnorm
5625,321208,2276,fondaparinux,IN,direct_anchor_exact_rxnorm
5630,641465,447,armodafinil,IN,direct_anchor_exact_rxnorm
5632,10572,5030,thyroid (usp),IN,direct_anchor_exact_rxnorm
5635,285208,449,arnica montana extract,IN,direct_anchor_exact_rxnorm
5643,258494,2087,exemestane,IN,direct_anchor_exact_rxnorm
5659,274771,3520,nelarabine,IN,direct_anchor_exact_rxnorm
5660,1006506,4886,tall oat grass pollen extract,IN,unique_convergent_term_evidence
5664,18330,452,arsenic trioxide,IN,direct_anchor_exact_rxnorm
5666,1546382,453,arsenite ion,IN,direct_anchor_exact_rxnorm
5675,18343,454,artemether,IN,direct_anchor_exact_rxnorm
5678,852007,5403,wormwood sage pollen extract,IN,unique_convergent_term_evidence
5680,1656306,455,artemisia annua leaf extract,IN,unique_convergent_term_evidence
5681,896213,1374,common wormwood pollen extract,IN,unique_convergent_term_evidence
5682,852011,1329,coast sage pollen extract,IN,unique_convergent_term_evidence
5683,892734,939,california mugwort pollen extract,IN,unique_convergent_term_evidence
5684,1006495,2683,indian wormwood sage pollen extract,IN,unique_convergent_term_evidence
5685,867142,4169,prairie sagebrush pollen extract,IN,unique_convergent_term_evidence
5686,896246,1519,dark leaved mugwort pollen extract,IN,unique_convergent_term_evidence
5687,852020,1372,common sagebrush pollen extract,IN,unique_convergent_term_evidence
5688,852029,3443,mugwort sage pollen extract,IN,unique_convergent_term_evidence
5689,1341384,456,artemisia vulgaris root extract,IN,unique_convergent_term_evidence
5690,2367409,457,artemisinin,IN,direct_anchor_exact_rxnorm
5696,18346,458,artesunate,IN,direct_anchor_exact_rxnorm
5698,592464,460,articaine,IN,direct_anchor_exact_rxnorm
5705,389190,2181,fibrinogen / thrombin,MIN,direct_anchor_exact_rxnorm
5719,712566,3661,ofatumumab,IN,direct_anchor_exact_rxnorm
5740,2584304,462,asciminib,IN,direct_anchor_exact_rxnorm
5743,1311127,463,ascophyllum nodosum extract,IN,unique_convergent_term_evidence
5744,1151,465,ascorbic acid,IN,direct_anchor_exact_rxnorm
5747,1306933,468,ascorbyl glucoside,IN,direct_anchor_exact_rxnorm
5749,1370605,469,ascorbyl phosphate,IN,direct_anchor_exact_rxnorm
