legacy_regimen_id,legacy_anchor_drug_id,source_id,quarantine_reason
528,3438,7,drug_anchor_not_uniquely_validated
528,3729,1,drug_anchor_not_uniquely_validated
531,3438,1,drug_anchor_not_uniquely_validated
532,3438,1,drug_anchor_not_uniquely_validated
532,13255,1,drug_anchor_not_uniquely_validated
533,3438,7,drug_anchor_not_uniquely_validated
533,13255,7,drug_anchor_not_uniquely_validated
543,3890,1,drug_anchor_not_uniquely_validated
543,10266,7,drug_anchor_not_uniquely_validated
550,29256,1,drug_anchor_not_uniquely_validated
551,9136,1,drug_anchor_not_uniquely_validated
557,8503,1,drug_anchor_not_uniquely_validated
574,30772,1,drug_anchor_not_uniquely_validated
585,3438,1,drug_anchor_not_uniquely_validated
595,8503,1,drug_anchor_not_uniquely_validated
598,29256,1,drug_anchor_not_uniquely_validated
607,29256,1,drug_anchor_not_uniquely_validated
610,13255,1,drug_anchor_not_uniquely_validated
613,3729,1,drug_anchor_not_uniquely_validated
614,10266,1,drug_anchor_not_uniquely_validated
617,3729,1,drug_anchor_not_uniquely_validated
617,3729,7,drug_anchor_not_uniquely_validated
618,3729,1,drug_anchor_not_uniquely_validated
618,3729,7,drug_anchor_not_uniquely_validated
619,3729,1,drug_anchor_not_uniquely_validated
624,3729,1,drug_anchor_not_uniquely_validated
625,3729,1,drug_anchor_not_uniquely_validated
626,3729,1,drug_anchor_not_uniquely_validated
628,3890,1,drug_anchor_not_uniquely_validated
631,3438,7,drug_anchor_not_uniquely_validated
632,3477,1,drug_anchor_not_uniquely_validated
636,14061,7,drug_anchor_not_uniquely_validated
639,10266,1,drug_anchor_not_uniquely_validated
640,3438,7,drug_anchor_not_uniquely_validated
640,10266,7,drug_anchor_not_uniquely_validated
641,10266,1,drug_anchor_not_uniquely_validated
641,10266,7,drug_anchor_not_uniquely_validated
642,10266,7,drug_anchor_not_uniquely_validated
642,14061,7,drug_anchor_not_uniquely_validated
644,13255,1,drug_anchor_not_uniquely_validated
645,3438,7,drug_anchor_not_uniquely_validated
646,10266,1,drug_anchor_not_uniquely_validated
646,10266,7,drug_anchor_not_uniquely_validated
648,10266,1,drug_anchor_not_uniquely_validated
648,10266,7,drug_anchor_not_uniquely_validated
649,3729,7,drug_anchor_not_uniquely_validated
649,10266,7,drug_anchor_not_uniquely_validated
653,3438,7,drug_anchor_not_uniquely_validated
653,28973,7,drug_anchor_not_uniquely_validated
654,3438,7,drug_anchor_not_uniquely_validated
654,3729,7,drug_anchor_not_uniquely_validated
654,16318,7,drug_anchor_not_uniquely_validated
655,3438,1,drug_anchor_not_uniquely_validated
655,3438,7,drug_anchor_not_uniquely_validated
656,3438,1,drug_anchor_not_uniquely_validated
656,3729,1,drug_anchor_not_uniquely_validated
657,3438,1,drug_anchor_not_uniquely_validated
658,3438,1,drug_anchor_not_uniquely_validated
659,3438,1,drug_anchor_not_uniquely_validated
661,3438,1,drug_anchor_not_uniquely_validated
661,3477,1,drug_anchor_not_uniquely_validated
661,3729,1,drug_anchor_not_uniquely_validated
661,9253,1,drug_anchor_not_uniquely_validated
661,10266,1,drug_anchor_not_uniquely_validated
662,3438,1,drug_anchor_not_uniquely_validated
662,3477,1,drug_anchor_not_uniquely_validated
662,3729,1,drug_anchor_not_uniquely_validated
663,3477,1,drug_anchor_not_uniquely_validated
663,9253,1,drug_anchor_not_uniquely_validated
663,10266,1,drug_anchor_not_uniquely_validated
664,3438,1,drug_anchor_not_uniquely_validated
664,3477,1,drug_anchor_not_uniquely_validated
664,3729,1,drug_anchor_not_uniquely_validated
664,9253,1,drug_anchor_not_uniquely_validated
664,10266,1,drug_anchor_not_uniquely_validated
665,3438,1,drug_anchor_not_uniquely_validated
665,3477,1,drug_anchor_not_uniquely_validated
665,3729,1,drug_anchor_not_uniquely_validated
665,10266,1,drug_anchor_not_uniquely_validated
666,3438,1,drug_anchor_not_uniquely_validated
666,3477,1,drug_anchor_not_uniquely_validated
666,3729,1,drug_anchor_not_uniquely_validated
666,10266,1,drug_anchor_not_uniquely_validated
667,3438,1,drug_anchor_not_uniquely_validated
667,3477,1,drug_anchor_not_uniquely_validated
667,3729,1,drug_anchor_not_uniquely_validated
667,10266,1,drug_anchor_not_uniquely_validated
668,3438,1,drug_anchor_not_uniquely_validated
668,3477,1,drug_anchor_not_uniquely_validated
668,3729,1,drug_anchor_not_uniquely_validated
668,9253,1,drug_anchor_not_uniquely_validated
669,3438,1,drug_anchor_not_uniquely_validated
669,3729,1,drug_anchor_not_uniquely_validated
669,9253,1,drug_anchor_not_uniquely_validated
670,3729,1,drug_anchor_not_uniquely_validated
681,3438,1,drug_anchor_not_uniquely_validated
682,3438,1,drug_anchor_not_uniquely_validated
683,3438,1,drug_anchor_not_uniquely_validated
684,3438,1,drug_anchor_not_uniquely_validated
685,3438,1,drug_anchor_not_uniquely_validated
686,3438,1,drug_anchor_not_uniquely_validated
687,3438,1,drug_anchor_not_uniquely_validated
691,3438,1,drug_anchor_not_uniquely_validated
692,3438,1,drug_anchor_not_uniquely_validated
693,3438,1,drug_anchor_not_uniquely_validated
694,16318,1,drug_anchor_not_uniquely_validated
695,3438,1,drug_anchor_not_uniquely_validated
695,16318,1,drug_anchor_not_uniquely_validated
696,3438,1,drug_anchor_not_uniquely_validated
696,3477,1,drug_anchor_not_uniquely_validated
703,3438,1,drug_anchor_not_uniquely_validated
707,3438,7,drug_anchor_not_uniquely_validated
707,3729,7,drug_anchor_not_uniquely_validated
708,3729,7,drug_anchor_not_uniquely_validated
709,3729,7,drug_anchor_not_uniquely_validated
710,10266,1,drug_anchor_not_uniquely_validated
710,10266,7,drug_anchor_not_uniquely_validated
711,10266,1,drug_anchor_not_uniquely_validated
711,10266,7,drug_anchor_not_uniquely_validated
712,3438,1,drug_anchor_not_uniquely_validated
