legacy_anchor_drug_id,canonical_rxcui,canonical_name,canonical_tty,default_rule
11159,1432293,dalotuzumab,IN,direct_anchor_exact_rxnorm
11163,67109,dalteparin,IN,direct_anchor_exact_rxnorm
11171,2055655,damoctocog alfa pegol,IN,direct_anchor_exact_rxnorm
11173,78484,danaparoid,IN,direct_anchor_exact_rxnorm
11178,3102,danazol,IN,direct_anchor_exact_rxnorm
11181,2678952,danicopan,IN,direct_anchor_exact_rxnorm
11188,1358488,danofloxacin,IN,direct_anchor_exact_rxnorm
11197,3105,dantrolene,IN,direct_anchor_exact_rxnorm
11198,3105,dantrolene,IN,direct_anchor_exact_rxnorm
11199,22293,danthron,IN,unique_convergent_term_evidence
11206,2474039,naxitamab,IN,direct_anchor_exact_rxnorm
